index,zone,year,month,day,hour,load
515,201,2023,1,22,23,1
516,201,2023,1,23,0,1
517,201,2023,1,23,1,0
518,201,2023,1,23,2,0
519,201,2023,1,23,3,0
520,201,2023,1,23,4,0
521,201,2023,1,23,5,0
522,201,2023,1,23,6,1
523,201,2023,1,23,7,5
524,201,2023,1,23,8,11
525,201,2023,1,23,9,34
526,201,2023,1,23,10,45
527,201,2023,1,23,11,46
528,201,2023,1,23,12,43
529,201,2023,1,23,13,36
530,201,2023,1,23,14,40
531,201,2023,1,23,15,41
532,201,2023,1,23,16,36
533,201,2023,1,23,17,27
534,201,2023,1,23,18,29
535,201,2023,1,23,19,23
536,201,2023,1,23,20,25
537,201,2023,1,23,21,18
538,201,2023,1,23,22,9
539,201,2023,1,23,23,5
540,201,2023,1,24,0,4
541,201,2023,1,24,1,2
542,201,2023,1,24,2,1
543,201,2023,1,24,3,0
544,201,2023,1,24,4,0
545,201,2023,1,24,5,0
546,201,2023,1,24,6,0
547,201,2023,1,24,7,3
548,201,2023,1,24,8,9
549,201,2023,1,24,9,30
550,201,2023,1,24,10,48
551,201,2023,1,24,11,61
552,201,2023,1,24,12,57
553,201,2023,1,24,13,48
554,201,2023,1,24,14,40
555,201,2023,1,24,15,36
556,201,2023,1,24,16,41
557,201,2023,1,24,17,39
558,201,2023,1,24,18,31
559,201,2023,1,24,19,22
560,201,2023,1,24,20,14
561,201,2023,1,24,21,13
562,201,2023,1,24,22,4
563,201,2023,1,24,23,1
564,201,2023,1,25,0,1
565,201,2023,1,25,1,0
566,201,2023,1,25,2,0
567,201,2023,1,25,3,0
568,201,2023,1,25,4,0
569,201,2023,1,25,5,0
570,201,2023,1,25,6,1
571,201,2023,1,25,7,4
572,201,2023,1,25,8,12
573,201,2023,1,25,9,30
574,201,2023,1,25,10,37
575,201,2023,1,25,11,40
576,201,2023,1,25,12,39
577,201,2023,1,25,13,44
578,201,2023,1,25,14,45
579,201,2023,1,25,15,42
580,201,2023,1,25,16,36
581,201,2023,1,25,17,31
582,201,2023,1,25,18,31
583,201,2023,1,25,19,23
584,201,2023,1,25,20,16
585,201,2023,1,25,21,11
586,201,2023,1,25,22,5
587,201,2023,1,25,23,2
588,201,2023,1,26,0,0
589,201,2023,1,26,1,0
590,201,2023,1,26,2,0
591,201,2023,1,26,3,0
592,201,2023,1,26,4,0
593,201,2023,1,26,5,0
594,201,2023,1,26,6,0
595,201,2023,1,26,7,3
596,201,2023,1,26,8,17
597,201,2023,1,26,9,34
598,201,2023,1,26,10,34
599,201,2023,1,26,11,35
600,201,2023,1,26,12,40
601,201,2023,1,26,13,48
602,201,2023,1,26,14,53
603,201,2023,1,26,15,49
604,201,2023,1,26,16,40
605,201,2023,1,26,17,31
606,201,2023,1,26,18,33
607,201,2023,1,26,19,27
608,201,2023,1,26,20,20
609,201,2023,1,26,21,15
610,201,2023,1,26,22,2
611,201,2023,1,26,23,1
612,201,2023,1,27,0,0
613,201,2023,1,27,1,0
614,201,2023,1,27,2,0
615,201,2023,1,27,3,0
616,201,2023,1,27,4,0
617,201,2023,1,27,5,0
618,201,2023,1,27,6,1
619,201,2023,1,27,7,4
620,201,2023,1,27,8,13
621,201,2023,1,27,9,35
622,201,2023,1,27,10,43
623,201,2023,1,27,11,48
624,201,2023,1,27,12,52
625,201,2023,1,27,13,48
626,201,2023,1,27,14,42
627,201,2023,1,27,15,42
628,201,2023,1,27,16,40
629,201,2023,1,27,17,45
630,201,2023,1,27,18,34
631,201,2023,1,27,19,22
632,201,2023,1,27,20,23
633,201,2023,1,27,21,18
634,201,2023,1,27,22,15
635,201,2023,1,27,23,9
636,201,2023,1,28,0,4
637,201,2023,1,28,1,2
638,201,2023,1,28,2,0
639,201,2023,1,28,3,0
640,201,2023,1,28,4,0
641,201,2023,1,28,5,0
642,201,2023,1,28,6,0
643,201,2023,1,28,7,0
644,201,2023,1,28,8,2
645,201,2023,1,28,9,6
646,201,2023,1,28,10,16
647,201,2023,1,28,11,25
648,201,2023,1,28,12,25
649,201,2023,1,28,13,31
650,201,2023,1,28,14,36
651,201,2023,1,28,15,42
652,201,2023,1,28,16,46
653,201,2023,1,28,17,42
654,201,2023,1,28,18,36
655,201,2023,1,28,19,29
656,201,2023,1,28,20,26
657,201,2023,1,28,21,23
658,201,2023,1,28,22,11
659,201,2023,1,28,23,9
660,201,2023,1,29,0,6
661,201,2023,1,29,1,4
662,201,2023,1,29,2,3
663,201,2023,1,29,3,2
664,201,2023,1,29,4,2
665,201,2023,1,29,5,2
666,201,2023,1,29,6,2
667,201,2023,1,29,7,1
668,201,2023,1,29,8,2
669,201,2023,1,29,9,6
670,201,2023,1,29,10,13
671,201,2023,1,29,11,18
672,201,2023,1,29,12,28
673,201,2023,1,29,13,39
674,201,2023,1,29,14,45
675,201,2023,1,29,15,45
676,201,2023,1,29,16,42
677,201,2023,1,29,17,37
678,201,2023,1,29,18,32
679,201,2023,1,29,19,27
680,201,2023,1,29,20,17
681,201,2023,1,29,21,12
682,201,2023,1,29,22,8
683,201,2023,1,29,23,8
684,201,2023,1,30,0,4
685,201,2023,1,30,1,3
686,201,2023,1,30,2,3
687,201,2023,1,30,3,2
688,201,2023,1,30,4,2
689,201,2023,1,30,5,2
690,201,2023,1,30,6,2
691,201,2023,1,30,7,3
692,201,2023,1,30,8,12
693,201,2023,1,30,9,30
694,201,2023,1,30,10,41
695,201,2023,1,30,11,42
696,201,2023,1,30,12,34
697,201,2023,1,30,13,35
698,201,2023,1,30,14,37
699,201,2023,1,30,15,35
700,201,2023,1,30,16,34
701,201,2023,1,30,17,32
702,201,2023,1,30,18,32
703,201,2023,1,30,19,23
704,201,2023,1,30,20,11
705,201,2023,1,30,21,6
706,201,2023,1,30,22,2
707,201,2023,1,30,23,1
708,201,2023,1,31,0,1
709,201,2023,1,31,1,1
710,201,2023,1,31,2,0
711,201,2023,1,31,3,0
712,201,2023,1,31,4,0
713,201,2023,1,31,5,0
714,201,2023,1,31,6,0
715,201,2023,1,31,7,2
716,201,2023,1,31,8,11
717,201,2023,1,31,9,30
718,201,2023,1,31,10,40
719,201,2023,1,31,11,49
720,201,2023,1,31,12,45
721,201,2023,1,31,13,46
722,201,2023,1,31,14,47
723,201,2023,1,31,15,47
724,201,2023,1,31,16,39
725,201,2023,1,31,17,32
726,201,2023,1,31,18,27
727,201,2023,1,31,19,22
728,201,2023,1,31,20,19
729,201,2023,1,31,21,13
730,201,2023,1,31,22,10
731,201,2023,1,31,23,1
732,201,2023,2,1,0,0
733,201,2023,2,1,1,0
734,201,2023,2,1,2,0
735,201,2023,2,1,3,0
736,201,2023,2,1,4,0
737,201,2023,2,1,5,0
738,201,2023,2,1,6,2
739,201,2023,2,1,7,5
740,201,2023,2,1,8,16
741,201,2023,2,1,9,35
742,201,2023,2,1,10,51
743,201,2023,2,1,11,56
744,201,2023,2,1,12,54
745,201,2023,2,1,13,58
746,201,2023,2,1,14,56
747,201,2023,2,1,15,51
748,201,2023,2,1,16,49
749,201,2023,2,1,17,40
750,201,2023,2,1,18,29
751,201,2023,2,1,19,24
752,201,2023,2,1,20,20
753,201,2023,2,1,21,13
754,201,2023,2,1,22,4
755,201,2023,2,1,23,1
756,201,2023,2,2,0,0
757,201,2023,2,2,1,0
758,201,2023,2,2,2,0
759,201,2023,2,2,3,0
760,201,2023,2,2,4,0
761,201,2023,2,2,5,0
762,201,2023,2,2,6,0
763,201,2023,2,2,7,1
764,201,2023,2,2,8,10
765,201,2023,2,2,9,26
766,201,2023,2,2,10,36
767,201,2023,2,2,11,44
768,201,2023,2,2,12,32
769,201,2023,2,2,13,36
770,201,2023,2,2,14,43
771,201,2023,2,2,15,43
772,201,2023,2,2,16,33
773,201,2023,2,2,17,28
774,201,2023,2,2,18,22
775,201,2023,2,2,19,14
776,201,2023,2,2,20,10
777,201,2023,2,2,21,7
778,201,2023,2,2,22,4
779,201,2023,2,2,23,1
780,201,2023,2,3,0,1
781,201,2023,2,3,1,0
782,201,2023,2,3,2,0
783,201,2023,2,3,3,0
784,201,2023,2,3,4,0
785,201,2023,2,3,5,0
786,201,2023,2,3,6,1
787,201,2023,2,3,7,1
788,201,2023,2,3,8,9
789,201,2023,2,3,9,32
790,201,2023,2,3,10,35
791,201,2023,2,3,11,37
792,201,2023,2,3,12,37
793,201,2023,2,3,13,43
794,201,2023,2,3,14,42
795,201,2023,2,3,15,29
796,201,2023,2,3,16,27
797,201,2023,2,3,17,28
798,201,2023,2,3,18,20
799,201,2023,2,3,19,23
800,201,2023,2,3,20,20
801,201,2023,2,3,21,12
802,201,2023,2,3,22,9
803,201,2023,2,3,23,6
804,201,2023,2,4,0,5
805,201,2023,2,4,1,1
806,201,2023,2,4,2,0
807,201,2023,2,4,3,0
808,201,2023,2,4,4,0
809,201,2023,2,4,5,0
810,201,2023,2,4,6,0
811,201,2023,2,4,7,0
812,201,2023,2,4,8,1
813,201,2023,2,4,9,4
814,201,2023,2,4,10,10
815,201,2023,2,4,11,13
816,201,2023,2,4,12,23
817,201,2023,2,4,13,31
818,201,2023,2,4,14,45
819,201,2023,2,4,15,54
820,201,2023,2,4,16,43
821,201,2023,2,4,17,37
822,201,2023,2,4,18,33
823,201,2023,2,4,19,20
824,201,2023,2,4,20,13
825,201,2023,2,4,21,13
826,201,2023,2,4,22,9
827,201,2023,2,4,23,9
828,201,2023,2,5,0,6
829,201,2023,2,5,1,1
830,201,2023,2,5,2,0
831,201,2023,2,5,3,0
832,201,2023,2,5,4,0
833,201,2023,2,5,5,0
834,201,2023,2,5,6,0
835,201,2023,2,5,7,0
836,201,2023,2,5,8,0
837,201,2023,2,5,9,0
838,201,2023,2,5,10,4
839,201,2023,2,5,11,10
840,201,2023,2,5,12,19
841,201,2023,2,5,13,29
842,201,2023,2,5,14,32
843,201,2023,2,5,15,35
844,201,2023,2,5,16,33
845,201,2023,2,5,17,22
846,201,2023,2,5,18,17
847,201,2023,2,5,19,11
848,201,2023,2,5,20,6
849,201,2023,2,5,21,6
850,201,2023,2,5,22,3
851,201,2023,2,5,23,1
852,201,2023,2,6,0,0
853,201,2023,2,6,1,0
854,201,2023,2,6,2,0
855,201,2023,2,6,3,0
856,201,2023,2,6,4,0
857,201,2023,2,6,5,0
858,201,2023,2,6,6,1
859,201,2023,2,6,7,2
860,201,2023,2,6,8,10
861,201,2023,2,6,9,29
862,201,2023,2,6,10,39
863,201,2023,2,6,11,40
864,201,2023,2,6,12,31
865,201,2023,2,6,13,33
866,201,2023,2,6,14,31
867,201,2023,2,6,15,34
868,201,2023,2,6,16,34
869,201,2023,2,6,17,31
870,201,2023,2,6,18,16
871,201,2023,2,6,19,13
872,201,2023,2,6,20,12
873,201,2023,2,6,21,8
874,201,2023,2,6,22,4
875,201,2023,2,6,23,1
876,201,2023,2,7,0,0
877,201,2023,2,7,1,0
878,201,2023,2,7,2,0
879,201,2023,2,7,3,0
880,201,2023,2,7,4,0
881,201,2023,2,7,5,0
882,201,2023,2,7,6,0
883,201,2023,2,7,7,0
884,201,2023,2,7,8,5
885,201,2023,2,7,9,18
886,201,2023,2,7,10,25
887,201,2023,2,7,11,36
888,201,2023,2,7,12,38
889,201,2023,2,7,13,48
890,201,2023,2,7,14,60
891,201,2023,2,7,15,57
892,201,2023,2,7,16,46
893,201,2023,2,7,17,37
894,201,2023,2,7,18,28
895,201,2023,2,7,19,22
896,201,2023,2,7,20,16
897,201,2023,2,7,21,13
898,201,2023,2,7,22,8
899,201,2023,2,7,23,5
900,201,2023,2,8,0,3
901,201,2023,2,8,1,2
902,201,2023,2,8,2,1
903,201,2023,2,8,3,1
904,201,2023,2,8,4,0
905,201,2023,2,8,5,0
906,201,2023,2,8,6,1
907,201,2023,2,8,7,2
908,201,2023,2,8,8,6
909,201,2023,2,8,9,23
910,201,2023,2,8,10,38
911,201,2023,2,8,11,46
912,201,2023,2,8,12,43
913,201,2023,2,8,13,45
914,201,2023,2,8,14,41
915,201,2023,2,8,15,39
916,201,2023,2,8,16,28
917,201,2023,2,8,17,21
918,201,2023,2,8,18,19
919,201,2023,2,8,19,21
920,201,2023,2,8,20,18
921,201,2023,2,8,21,16
922,201,2023,2,8,22,9
923,201,2023,2,8,23,2
924,201,2023,2,9,0,1
925,201,2023,2,9,1,2
926,201,2023,2,9,2,1
927,201,2023,2,9,3,1
928,201,2023,2,9,4,0
